id,summary,description,time_zone,access_role,primary,color_id
cal_gen_000288,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000289,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000290,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000291,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000292,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000293,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000294,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000295,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000296,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000297,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000298,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000299,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000300,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000301,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000302,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000303,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000304,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000305,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000306,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000307,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000308,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000309,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000310,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000311,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000312,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000313,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000314,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000315,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000316,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000317,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000318,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000319,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000320,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000321,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000322,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000323,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000324,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000325,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000326,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000327,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000328,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000329,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000330,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000331,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000332,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000333,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000334,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000335,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000336,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000337,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000338,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000339,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
cal_gen_000340,Ian Salazar,Primary calendar — work + everything else,America/Denver,owner,True,1
cal_gen_000341,Family,"Carmen, Rosa, Marco — birthdays + family gatherings",America/Denver,owner,False,11
cal_gen_000342,Fieldwork,DAC water-quality sampling rounds + field-day blocks,America/Denver,owner,False,9
